year,chicken,eggs
1924,164.16,225.93
1925,169.17,250.87
1926,180.65,236.24
1927,168.3,209.12
1928,180.73,237.31
1929,192.55,251.67
1930,159.43,205.36
1931,150.11,167.21
1932,126.05,150.42
1933,106.08,154.09
1934,119.92,183.67
1935,157.06,246.66
1936,156.59,227.58
1937,161.21,214.6
1938,151.94,208.41
1939,137.47,181.21
1940,134.1,185.67
1941,153.25,230.86
1942,166.02,266.34
1943,203.24,310.29
1944,194.83,267.18
1945,208.18,303.03
1946,204.4,278.46
1947,171.61,293.36
1948,180.87,283.62
1949,154.12,274.26
1950,133.4,218.12
1951,139.22,265.62
1952,120.43,226.7
1953,119.53,258
1954,90.41,196.98
1955,100.48,213.38
1956,85.16,209.17
1957,70.41,184.5
1958,70.04,192.61
1959,54.59,155.83
1960,59.59,176.32
1961,48.84,172.13
1962,48.78,161.63
1963,47.25,163
1964,42.9,157.63
1965,40.8,154.5
1966,43.23,174.28
1967,34.23,135.17
1968,34.09,141.36
1969,38.27,157.83
1970,33.9,145.65
1971,27.48,112.06
1972,31.12,106.85
1973,49.16,170.91
1974,28.44,156.26
1975,26.6,140.78
1976,33.02,148.35
1977,29.34,132.61
1978,27.49,115.72
1979,27.67,116.07
1980,19.29,98.76
1981,17.65,100.33
1982,15.43,89.12
1983,18.43,88.67
1984,22.12,100.58
1985,19.88,76.84
1986,16.48,81.1
1987,14,69.6
1988,11.25,64.55
1989,17.38,80.36
1990,16.45,79.79
1991,15.69,74.79
1992,15.25,64.86
1993,14.64,62.27
