date,time,speed
1/1/2010,0:00,2.24
1/1/2010,1:00,2.42
1/1/2010,2:00,1.75
1/1/2010,3:00,3.54
1/1/2010,4:00,4.98
1/1/2010,5:00,4.8
1/1/2010,6:00,5.07
1/1/2010,7:00,1.15
1/1/2010,8:00,3.53
1/1/2010,9:00,9.47
1/1/2010,10:00,0.52
1/1/2010,11:00,4.33
1/1/2010,12:00,5.85
1/1/2010,13:00,5.47
1/1/2010,14:00,5.24
1/1/2010,15:00,6
1/1/2010,16:00,4.56
1/1/2010,17:00,4.76
1/1/2010,18:00,4.21
1/1/2010,19:00,1.79
1/1/2010,20:00,2.52
1/1/2010,21:00,4.99
1/1/2010,22:00,10.29
1/1/2010,23:00,9.93
1/2/2010,0:00,5.34
1/2/2010,1:00,5.69
1/2/2010,2:00,9.01
1/2/2010,3:00,9.17
1/2/2010,4:00,8.82
1/2/2010,5:00,10.26
1/2/2010,6:00,8.04
1/2/2010,7:00,7.72
1/2/2010,8:00,6.96
1/2/2010,9:00,8.08
1/2/2010,10:00,10.42
1/2/2010,11:00,7.5
1/2/2010,12:00,6.11
1/2/2010,13:00,5.74
1/2/2010,14:00,3.66
1/2/2010,15:00,3.38
1/2/2010,16:00,1.22
1/2/2010,17:00,2.42
1/2/2010,18:00,2.02
1/2/2010,19:00,2.88
1/2/2010,20:00,2.86
1/2/2010,21:00,3.02
1/2/2010,22:00,2.41
1/2/2010,23:00,1.31
1/3/2010,0:00,0.12
1/3/2010,1:00,0.44
1/3/2010,2:00,1.42
1/3/2010,3:00,2.16
1/3/2010,4:00,1.32
1/3/2010,5:00,2.02
1/3/2010,6:00,0.32
1/3/2010,7:00,2.03
1/3/2010,8:00,2.58
1/3/2010,9:00,5.57
1/3/2010,10:00,3.85
1/3/2010,11:00,5.91
1/3/2010,12:00,6.06
1/3/2010,13:00,8.04
1/3/2010,14:00,8.08
1/3/2010,15:00,6.78
1/3/2010,16:00,7.09
1/3/2010,17:00,4.55
1/3/2010,18:00,5.89
1/3/2010,19:00,1.61
1/3/2010,20:00,10.1
1/3/2010,21:00,11.47
1/3/2010,22:00,7.62
1/3/2010,23:00,12.06
1/4/2010,0:00,10.68
1/4/2010,1:00,11.66
1/4/2010,2:00,11.32
1/4/2010,3:00,12.07
1/4/2010,4:00,12.97
1/4/2010,5:00,9.73
1/4/2010,6:00,11.42
1/4/2010,7:00,12.99
1/4/2010,8:00,10.82
1/4/2010,9:00,10.06
1/4/2010,10:00,8.42
1/4/2010,11:00,10.16
1/4/2010,12:00,8.26
1/4/2010,13:00,7.9
1/4/2010,14:00,7.67
1/4/2010,15:00,6.11
1/4/2010,16:00,5.37
1/4/2010,17:00,4.67
1/4/2010,18:00,6.34
1/4/2010,19:00,6.22
1/4/2010,20:00,4.5
1/4/2010,21:00,3.7
1/4/2010,22:00,2.48
1/4/2010,23:00,2.25
1/5/2010,0:00,3.2
1/5/2010,1:00,0.93
1/5/2010,2:00,1.81
1/5/2010,3:00,0.82
1/5/2010,4:00,4.37
1/5/2010,5:00,3.58
1/5/2010,6:00,2.64
1/5/2010,7:00,1.35
1/5/2010,8:00,2.3
1/5/2010,9:00,1.81
1/5/2010,10:00,1.66
1/5/2010,11:00,8.24
1/5/2010,12:00,7.51
1/5/2010,13:00,2.65
1/5/2010,14:00,2.27
1/5/2010,15:00,3.17
1/5/2010,16:00,2.21
1/5/2010,17:00,3.05
1/5/2010,18:00,3.71
1/5/2010,19:00,4.2
1/5/2010,20:00,3.75
1/5/2010,21:00,3.53
1/5/2010,22:00,5.03
1/5/2010,23:00,4.73
1/6/2010,0:00,4.84
1/6/2010,1:00,5.55
1/6/2010,2:00,7.51
1/6/2010,3:00,8.69
1/6/2010,4:00,5.11
1/6/2010,5:00,5.03
1/6/2010,6:00,9.14
1/6/2010,7:00,7.99
1/6/2010,8:00,10.42
1/6/2010,9:00,9.48
1/6/2010,10:00,8.68
1/6/2010,11:00,10.37
1/6/2010,12:00,8.61
1/6/2010,13:00,7.04
1/6/2010,14:00,16.16
1/6/2010,15:00,14.59
1/6/2010,16:00,18.34
1/6/2010,17:00,19.2
1/6/2010,18:00,19.23
1/6/2010,19:00,19.51
1/6/2010,20:00,17.51
1/6/2010,21:00,17.89
1/6/2010,22:00,19.32
1/6/2010,23:00,19.41
1/7/2010,0:00,20.07
1/7/2010,1:00,19.25
1/7/2010,2:00,14.31
1/7/2010,3:00,15.05
1/7/2010,4:00,5.94
1/7/2010,5:00,2.42
1/7/2010,6:00,17.32
1/7/2010,7:00,5.23
1/7/2010,8:00,8.68
1/7/2010,9:00,9.61
1/7/2010,10:00,18.48
1/7/2010,11:00,18.62
1/7/2010,12:00,16.69
1/7/2010,13:00,11.37
1/7/2010,14:00,7.23
1/7/2010,15:00,13.84
1/7/2010,16:00,12.04
1/7/2010,17:00,11.06
1/7/2010,18:00,2.38
1/7/2010,19:00,6.71
1/7/2010,20:00,6.03
1/7/2010,21:00,10.86
1/7/2010,22:00,10.94
1/7/2010,23:00,7.14
1/8/2010,0:00,8.21
1/8/2010,1:00,7.01
1/8/2010,2:00,9.42
1/8/2010,3:00,8.67
1/8/2010,4:00,7.61
1/8/2010,5:00,7.7
1/8/2010,6:00,8.94
1/8/2010,7:00,10.75
1/8/2010,8:00,12.71
1/8/2010,9:00,12.09
1/8/2010,10:00,13.88
1/8/2010,11:00,14.73
1/8/2010,12:00,13.8
1/8/2010,13:00,9.5
1/8/2010,14:00,10.75
1/8/2010,15:00,11.26
1/8/2010,16:00,10.46
1/8/2010,17:00,9.31
1/8/2010,18:00,9.87
1/8/2010,19:00,9.4
1/8/2010,20:00,10.51
1/8/2010,21:00,7.19
1/8/2010,22:00,7.65
1/8/2010,23:00,5.49
1/9/2010,0:00,6.41
1/9/2010,1:00,8.12
1/9/2010,2:00,8.61
1/9/2010,3:00,8.06
1/9/2010,4:00,6.16
1/9/2010,5:00,5.7
1/9/2010,6:00,6.07
1/9/2010,7:00,6
1/9/2010,8:00,7.05
1/9/2010,9:00,9.43
1/9/2010,10:00,11.43
1/9/2010,11:00,8.13
1/9/2010,12:00,4.66
1/9/2010,13:00,3.8
1/9/2010,14:00,1.93
1/9/2010,15:00,4.3
1/9/2010,16:00,5.04
1/9/2010,17:00,5.1
1/9/2010,18:00,3.34
1/9/2010,19:00,6.92
1/9/2010,20:00,7.96
1/9/2010,21:00,2.85
1/9/2010,22:00,8.79
1/9/2010,23:00,9.76
1/10/2010,0:00,10.55
1/10/2010,1:00,11.08
1/10/2010,2:00,10.59
1/10/2010,3:00,12.08
1/10/2010,4:00,4.62
1/10/2010,5:00,8.29
1/10/2010,6:00,6.75
1/10/2010,7:00,5.94
1/10/2010,8:00,2
1/10/2010,9:00,12.96
1/10/2010,10:00,12.08
1/10/2010,11:00,12.12
1/10/2010,12:00,9.62
1/10/2010,13:00,10.57
1/10/2010,14:00,11.85
1/10/2010,15:00,12.51
1/10/2010,16:00,11.31
1/10/2010,17:00,8.16
1/10/2010,18:00,9.08
1/10/2010,19:00,8.89
1/10/2010,20:00,7.85
1/10/2010,22:00,12.42
1/10/2010,23:00,13.26
1/11/2010,1:00,12.32
1/11/2010,2:00,14.67
1/11/2010,4:00,13.54
1/11/2010,5:00,12.78
1/11/2010,7:00,14.46
1/11/2010,8:00,11.81
1/11/2010,9:00,0
1/11/2010,10:00,10.22
1/11/2010,11:00,11.25
1/11/2010,13:00,10.85
1/11/2010,14:00,9.51
1/11/2010,16:00,10.05
1/11/2010,17:00,9.98
1/11/2010,19:00,11.07
1/11/2010,20:00,6.36
1/11/2010,22:00,8.07
1/11/2010,23:00,4.12
1/12/2010,1:00,13.63
1/12/2010,2:00,14.58
1/12/2010,3:00,6.64
1/12/2010,4:00,8.4
1/12/2010,5:00,6
1/12/2010,6:00,5.49
1/12/2010,7:00,3.5
1/12/2010,8:00,9.34
1/12/2010,9:00,13.06
1/12/2010,10:00,12.64
1/12/2010,11:00,10.45
1/12/2010,13:00,5.57
1/12/2010,14:00,4.54
1/12/2010,16:00,7.65
1/12/2010,17:00,5.63
1/12/2010,19:00,8.67
1/12/2010,20:00,3.07
1/12/2010,22:00,3.01
1/12/2010,23:00,4.36
1/13/2010,1:00,3.87
1/13/2010,2:00,2.23
1/13/2010,4:00,5.31
1/13/2010,5:00,2.32
1/13/2010,6:00,4.24
1/13/2010,7:00,5.07
1/13/2010,8:00,6.18
1/13/2010,10:00,9.57
1/13/2010,11:00,15.71
1/13/2010,13:00,5.37
1/13/2010,14:00,5.97
1/13/2010,15:00,1.93
1/13/2010,16:00,2.32
1/13/2010,17:00,2.52
1/13/2010,18:00,4.62
1/13/2010,19:00,3.29
1/13/2010,20:00,5.6
1/13/2010,22:00,6.3
1/13/2010,23:00,5.02
1/14/2010,1:00,7.71
1/14/2010,2:00,10.81
1/14/2010,3:00,9.8
1/14/2010,4:00,7.32
1/14/2010,5:00,8.34
1/14/2010,6:00,8.6
1/14/2010,7:00,8.27
1/14/2010,8:00,7.99
1/14/2010,9:00,6.8
1/14/2010,10:00,9.4
1/14/2010,11:00,9.69
1/14/2010,13:00,9.86
1/14/2010,14:00,10.14
1/14/2010,15:00,9.83
1/14/2010,16:00,5.49
1/14/2010,17:00,3.81
1/14/2010,18:00,2.36
1/14/2010,19:00,4.02
1/14/2010,20:00,3.15
1/14/2010,21:00,3.05
1/14/2010,22:00,4.28
1/14/2010,23:00,3.59
1/15/2010,0:00,0.93
1/15/2010,1:00,1.19
1/15/2010,2:00,2.94
1/15/2010,3:00,4.68
1/15/2010,4:00,2.38
1/15/2010,5:00,3.41
1/15/2010,6:00,4.22
1/15/2010,7:00,3.87
1/15/2010,8:00,6.38
1/15/2010,9:00,8.46
1/15/2010,10:00,8.17
1/15/2010,11:00,11.17
1/15/2010,12:00,6.58
1/15/2010,13:00,4.02
1/15/2010,14:00,10.83
1/15/2010,15:00,10.77
1/15/2010,16:00,9.12
1/15/2010,17:00,6.35
1/15/2010,18:00,6.15
1/15/2010,19:00,5.36
1/15/2010,20:00,5.22
1/15/2010,21:00,3.64
1/15/2010,22:00,4.71
1/15/2010,23:00,5.23
1/16/2010,0:00,5.07
1/16/2010,1:00,4.11
1/16/2010,2:00,4.73
1/16/2010,3:00,5.84
1/16/2010,4:00,7.22
1/16/2010,5:00,3.21
1/16/2010,6:00,5.94
1/16/2010,7:00,4.37
1/16/2010,8:00,3.91
1/16/2010,9:00,3.96
1/16/2010,10:00,6.9
1/16/2010,11:00,5.97
1/16/2010,12:00,5
1/16/2010,13:00,3.65
1/16/2010,14:00,6.85
1/16/2010,15:00,6
1/16/2010,16:00,4.38
1/16/2010,17:00,5.06
1/16/2010,18:00,3.56
1/16/2010,19:00,2.57
1/16/2010,20:00,3.89
1/16/2010,21:00,3.69
1/16/2010,22:00,3.92
1/16/2010,23:00,2.48
1/17/2010,0:00,0.81
1/17/2010,1:00,5.52
1/17/2010,2:00,6.85
1/17/2010,3:00,8.43
1/17/2010,4:00,4.31
1/17/2010,5:00,8.66
1/17/2010,6:00,7.31
1/17/2010,7:00,4.4
1/17/2010,8:00,6.73
1/17/2010,9:00,10.69
1/17/2010,10:00,9.1
1/17/2010,11:00,7.8
1/17/2010,12:00,7.53
1/17/2010,13:00,7.58
1/17/2010,14:00,5.55
1/17/2010,15:00,6.31
1/17/2010,16:00,6.26
1/17/2010,17:00,5.49
1/17/2010,18:00,1.82
1/17/2010,19:00,3.13
1/17/2010,20:00,5.62
1/17/2010,21:00,4.71
1/17/2010,22:00,6.69
1/17/2010,23:00,14.03
1/18/2010,0:00,11.28
1/18/2010,1:00,3.62
1/18/2010,2:00,2.91
1/18/2010,3:00,5.12
1/18/2010,4:00,6.38
1/18/2010,5:00,7.13
1/18/2010,6:00,5.78
1/18/2010,7:00,3.13
1/18/2010,8:00,2.92
1/18/2010,9:00,4.13
1/18/2010,10:00,2.57
1/18/2010,11:00,2.71
1/18/2010,12:00,2.88
1/18/2010,13:00,2.07
1/18/2010,14:00,2.09
1/18/2010,15:00,6.15
1/18/2010,16:00,16.29
1/18/2010,17:00,12.72
1/18/2010,18:00,10.6
1/18/2010,19:00,10.84
1/18/2010,20:00,7.02
1/18/2010,21:00,9.68
1/18/2010,22:00,12.18
1/18/2010,23:00,9.49
1/19/2010,0:00,7.47
1/19/2010,1:00,10.28
1/19/2010,2:00,10.27
1/19/2010,3:00,3.1
1/19/2010,4:00,5.7
1/19/2010,5:00,7.37
1/19/2010,6:00,3.54
1/19/2010,7:00,3.98
1/19/2010,8:00,3.5
1/19/2010,9:00,4.93
1/19/2010,10:00,6.91
1/19/2010,11:00,10.22
1/19/2010,12:00,10.83
1/19/2010,13:00,12.49
1/19/2010,14:00,11.13
1/19/2010,15:00,11.76
1/19/2010,16:00,12.2
1/19/2010,17:00,3.37
1/19/2010,18:00,3.4
1/19/2010,19:00,5.82
1/19/2010,20:00,9.54
1/19/2010,21:00,2.31
1/19/2010,22:00,3.58
1/19/2010,23:00,3.43
1/20/2010,0:00,2.09
1/20/2010,1:00,2.29
1/20/2010,2:00,3.2
1/20/2010,3:00,0.89
1/20/2010,4:00,3.13
1/20/2010,5:00,2.4
1/20/2010,6:00,2.72
1/20/2010,7:00,0
1/20/2010,8:00,1.5
1/20/2010,9:00,3.6
1/20/2010,10:00,4.88
1/20/2010,11:00,6.59
1/20/2010,12:00,5.25
1/20/2010,13:00,6.8
1/20/2010,14:00,8.19
1/20/2010,15:00,9.32
1/20/2010,16:00,8.97
1/20/2010,17:00,6.2
1/20/2010,18:00,8.75
1/20/2010,19:00,10.71
1/20/2010,20:00,10.97
1/20/2010,21:00,12.61
1/20/2010,22:00,10.44
1/20/2010,23:00,10.82
1/21/2010,0:00,7.45
1/21/2010,1:00,5.13
1/21/2010,2:00,4.62
1/21/2010,3:00,2.55
1/21/2010,4:00,2.74
1/21/2010,5:00,2
1/21/2010,6:00,3.87
1/21/2010,7:00,3.89
1/21/2010,8:00,2.33
1/21/2010,9:00,1.35
1/21/2010,10:00,1.99
1/21/2010,11:00,1.34
1/21/2010,12:00,1.59
1/21/2010,13:00,3.98
1/21/2010,14:00,8.33
1/21/2010,15:00,8.68
1/21/2010,16:00,6.06
1/21/2010,17:00,6.43
1/21/2010,18:00,9.01
1/21/2010,19:00,10.78
1/21/2010,20:00,12.18
1/21/2010,21:00,13.1
1/21/2010,22:00,14.45
1/21/2010,23:00,9.48
1/22/2010,0:00,15
1/22/2010,1:00,15.48
1/22/2010,2:00,14.8
1/22/2010,3:00,16.12
1/22/2010,4:00,16.69
1/22/2010,5:00,14.26
1/22/2010,6:00,9.3
1/22/2010,7:00,3.53
1/22/2010,8:00,3.23
1/22/2010,9:00,7.39
1/22/2010,10:00,9.92
1/22/2010,11:00,9.7
1/22/2010,12:00,3.85
1/22/2010,13:00,1.28
1/22/2010,14:00,5.28
1/22/2010,15:00,3.86
1/22/2010,16:00,4.95
1/22/2010,17:00,6.62
1/22/2010,18:00,7.89
1/22/2010,19:00,6.81
1/22/2010,20:00,5.17
1/22/2010,21:00,6.01
1/22/2010,22:00,6.7
1/22/2010,23:00,6.45
1/23/2010,0:00,5.58
1/23/2010,1:00,12.34
1/23/2010,2:00,12.52
1/23/2010,3:00,9.34
1/23/2010,4:00,6.79
1/23/2010,5:00,11.99
1/23/2010,6:00,12.67
1/23/2010,7:00,10.08
1/23/2010,8:00,8.9
1/23/2010,9:00,10.69
1/23/2010,10:00,11.09
1/23/2010,11:00,11.73
1/23/2010,12:00,12.93
1/23/2010,13:00,13.42
1/23/2010,14:00,12.58
1/23/2010,15:00,12.02
1/23/2010,16:00,11.82
1/23/2010,17:00,10.29
1/23/2010,18:00,8.48
1/23/2010,19:00,7.79
1/23/2010,20:00,7.05
1/23/2010,21:00,6.6
1/23/2010,22:00,8.29
1/23/2010,23:00,10.63
1/24/2010,0:00,9.35
1/24/2010,1:00,9.62
1/24/2010,2:00,8.59
1/24/2010,3:00,8.78
1/24/2010,4:00,9.25
1/24/2010,5:00,11.54
1/24/2010,6:00,10.47
1/24/2010,7:00,8.04
1/24/2010,8:00,4.8
1/24/2010,9:00,5.35
1/24/2010,10:00,8.93
1/24/2010,11:00,8.77
1/24/2010,12:00,9.05
1/24/2010,13:00,7.46
1/24/2010,14:00,5.65
1/24/2010,15:00,4.75
1/24/2010,16:00,2.41
1/24/2010,17:00,4.16
1/24/2010,18:00,3.16
1/24/2010,19:00,5.33
