facID,section,course,challenge,amount,effort,importance,classLevel,grade,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,out,useful,class,GPA
X,1,A,Higher,Higher,Much Higher,Average,Sophomore,B+,4,4,5,3,4,3,5,4,3,4,4,4,4,8.5,8.5,Sophomore,3.3
X,1,A,Higher,Average,Higher,Average,Sophomore,A,4,3,4,3,4,4,5,5,4,4,4,4,4,2.5,2.5,Sophomore,4
X,1,A,Higher,Higher,Higher,Average,First Year Student,B+,4,4,4,3,3,3,5,5,5,5,4,4,5,6.5,4.5,First Year Student,3.3
X,1,A,Average,Average,Average,Lower,Sophomore,A-,3,3,3,2,4,4,5,4,5,5,5,3,4,8.5,6.5,Sophomore,3.7
X,1,A,Average,Lower,Average,Much Lower,Junior,B-,3,2,3,1,2,2,3,3,2,2,3,3,2,0.5,0.5,Junior,2.7
X,1,A,Higher,Much Higher,Higher,Lower,Junior,B+,4,5,4,2,5,5,5,5,5,5,5,5,5,2.5,2.5,Junior,3.3
X,1,A,Much Higher,Much Higher,Much Higher,Higher,First Year Student,C-,5,5,5,4,3,4,4,4,4,3,4,4,4,4.5,4.5,First Year Student,1.7
X,1,A,Higher,Higher,Higher,Average,Junior,B,4,4,4,3,4,4,5,5,5,5,3,4,4,2.5,2.5,Junior,3
X,1,A,Lower,Average,Average,Average,Senior,B,2,3,3,3,3,4,4,4,4,5,4,4,4,4.5,4.5,Senior,3
X,1,A,Much Higher,Average,Much Higher,Average,First Year Student,B+,5,3,5,3,2,1,2,3,2,2,2,1,2,8.5,4.5,First Year Student,3.3
X,1,A,Higher,Much Higher,Higher,Higher,First Year Student,B-,4,5,4,4,4,4,4,5,4,4,5,4,5,8.5,8.5,First Year Student,2.7
X,1,A,Much Higher,Higher,Higher,Much Lower,First Year Student,B+,5,4,4,1,3,3,4,4,3,4,2,2,3,0.5,0.5,First Year Student,3.3
X,1,A,Average,Average,Average,Lower,Junior,B+,3,3,3,2,2,2,4,4,3,3,3,3,2,2.5,2.5,Junior,3.3
X,1,A,Average,Average,Average,Average,BLANK,B+,3,3,3,3,3,3,5,5,4,4,4,4,4,4.5,2.5,NA,3.3
X,1,A,Average,Average,Higher,Lower,Senior,A-,3,3,4,2,3,3,3,3,3,3,4,2,3,6.5,2.5,Senior,3.7
X,1,A,Higher,Average,Higher,Lower,Senior,C+,4,3,4,2,2,2,3,2,2,2,2,2,3,2.5,0.5,Senior,2.3
X,1,A,Much Higher,Higher,Much Higher,Higher,First Year Student,B-,5,4,5,4,3,3,4,4,2,2,3,3,3,4.5,6.5,First Year Student,2.7
X,1,A,Higher,Much Higher,Higher,Average,First Year Student,C+,4,5,4,3,5,4,4,4,4,4,4,4,5,8.5,6.5,First Year Student,2.3
X,1,A,Average,Average,Lower,Average,First Year Student,B,3,3,2,3,3,2,4,4,4,3,4,3,4,6.5,4.5,First Year Student,3
X,1,A,Average,Average,Average,Average,Senior,B,3,3,3,3,3,2,3,4,4,3,3,2,3,0.5,0.5,Senior,3
X,1,A,Higher,Average,Much Higher,Average,First Year Student,C+,4,3,5,3,3,3,5,3,3,3,3,2,3,6.5,4.5,First Year Student,2.3
X,1,A,Higher,Much Higher,Average,Higher,First Year Student,A,4,5,3,4,5,4,5,4,3,3,3,4,5,4.5,4.5,First Year Student,4
X,1,A,Higher,Much Higher,Much Higher,Higher,First Year Student,B,4,5,5,4,4,3,4,4,5,5,4,4,4,10.5,8.5,First Year Student,3
X,1,A,Much Higher,Higher,Much Higher,Higher,Junior,B,5,4,5,4,4,3,5,2,3,5,2,2,5,8.5,4.5,Junior,3
X,1,A,Average,Much Higher,Average,Higher,First Year Student,C+,3,5,3,4,4,3,3,3,3,2,3,4,4,6.5,4.5,First Year Student,2.3
X,1,A,Higher,Much Higher,Much Higher,Much Higher,First Year Student,B-,4,5,5,5,4,4,4,5,2,3,3,3,5,4.5,2.5,First Year Student,2.7
X,1,A,Much Higher,Higher,Higher,Average,Senior,B+,5,4,4,3,4,4,5,5,5,5,5,5,5,2.5,0.5,Senior,3.3
X,1,A,Average,Average,Average,Average,Sophomore,B+,3,3,3,3,3,4,4,4,3,4,4,4,4,0.5,0.5,Sophomore,3.3
X,1,A,Higher,Higher,Higher,Average,First Year Student,B,4,4,4,3,4,4,5,4,4,4,5,5,5,4.5,4.5,First Year Student,3
X,2,A,Higher,Much Higher,Average,Average,First Year Student,B+,4,5,3,3,4,3,5,4,4,5,4,5,NA,6.5,4.5,First Year Student,3.3
X,2,A,Average,Average,Average,Average,Junior,B,3,3,3,3,3,3,4,4,4,3,4,3,3,2.5,2.5,Junior,3
