Number,Player,GP,GS,Min,AvgMin,FG,FGA,FGPct,FG3,FG3A,FG3Pct,FT,FTA,FTPct,Off,Def,Tot,RBG,PF,FO,A,TO,Blk,Stl,Pts,PTSG
14,Brian Schaefer.....,25,19,769,30.8,146,366,0.399,67,185,0.362,66,94,0.702,24,42,66,2.6,37,1,96,69,1,40,425,17
32,Billy Collins Jr...,25,19,641,25.6,119,285,0.418,41,131,0.313,37,60,0.617,18,41,59,2.4,51,0,37,35,1,19,316,12.6
5,Mike Lewis.........,25,18,553,22.1,99,162,0.611,0,2,0,47,63,0.746,58,81,139,5.6,65,1,29,40,6,26,245,9.8
30,Adam Novak.........,20,13,453,22.6,95,163,0.583,3,3,1,45,64,0.703,52,79,131,6.6,42,2,47,25,5,33,238,11.9
24,Jeff Nokovich......,25,17,702,28.1,38,109,0.349,7,31,0.226,36,60,0.6,20,60,80,3.2,63,2,104,49,3,52,119,4.8
44,Steve Thornton.....,22,5,356,16.2,48,84,0.571,2,4,0.5,19,29,0.655,23,52,75,3.4,37,0,11,21,11,13,117,5.3
4,Andy Kubish........,25,6,349,14,30,84,0.357,22,58,0.379,10,15,0.667,15,26,41,1.6,37,0,15,31,2,10,92,3.7
34,Anthony Thornton...,24,9,361,15,31,93,0.333,18,51,0.353,11,14,0.786,16,41,57,2.4,48,2,19,18,0,5,91,3.8
10,Mark Bohlen........,23,6,299,13,33,80,0.412,7,30,0.233,5,11,0.455,18,40,58,2.5,53,1,16,22,22,10,78,3.4
22,Earl Ingram........,21,11,228,10.9,20,42,0.476,0,0,0,10,28,0.357,16,25,41,2,20,0,11,25,6,7,50,2.4
3,Brandon Giles......,5,1,77,15.4,7,18,0.389,4,4,1,3,6,0.5,2,9,11,2.2,3,0,8,3,0,3,21,4.2
31,Ian Weber..........,13,1,58,4.5,5,10,0.5,0,0,0,2,5,0.4,6,9,15,1.2,13,0,1,3,2,0,12,0.9
20,Nate Stoltzfus.....,13,0,44,3.4,4,16,0.25,2,8,0.25,2,2,1,2,7,9,0.7,4,0,2,1,0,0,12,0.9
3,Mario Johnson......,7,0,59,8.4,3,15,0.2,2,7,0.286,0,0,0,0,6,6,0.9,1,0,2,6,0,3,8,1.1
23,Mike Rodgers.......,4,0,29,7.2,2,3,0.667,1,1,1,2,2,1,1,2,3,0.8,5,0,0,3,0,2,7,1.8
40,Nick Clark.........,19,0,72,3.8,1,10,0.1,1,5,0.2,3,5,0.6,2,12,14,0.7,13,0,1,7,0,2,6,0.3
14,Mike Thomas........,25,25,694,27.8,114,272,0.419,46,122,0.377,78,99,0.788,10,58,68,2.7,53,0,59,43,3,25,352,14.1
54,Brandon Crawford...,24,23,609,25.4,140,223,0.628,0,0,0,72,119,0.605,70,140,210,8.8,70,0,27,51,10,17,352,14.7
42,Travis DePree......,25,25,730,29.2,126,220,0.573,8,18,0.444,69,85,0.812,69,173,242,9.7,67,1,125,82,31,57,329,13.2
3,Zak Silas..........,25,0,481,19.2,78,148,0.527,32,67,0.478,42,46,0.913,15,35,50,2,30,0,33,18,3,10,230,9.2
10,Mike Bailey........,25,0,422,16.9,50,105,0.476,35,70,0.5,33,38,0.868,8,26,34,1.4,29,0,50,35,0,12,168,6.7
12,Lonny Fulse........,25,25,557,22.3,62,135,0.459,7,28,0.25,25,50,0.5,8,39,47,1.9,18,0,74,61,4,21,156,6.2
20,Garrett Gibbons....,24,24,526,21.9,60,130,0.462,29,65,0.446,5,7,0.714,20,39,59,2.5,31,0,29,27,5,7,154,6.4
50,Evan Way...........,24,1,273,11.4,30,59,0.508,0,0,0,23,28,0.821,30,43,73,3,31,1,9,12,4,3,83,3.5
44,Brian Champine.....,10,0,78,7.8,25,34,0.735,0,0,0,7,17,0.412,5,12,17,1.7,6,0,4,7,4,0,57,5.7
24,Rick Palmer........,25,0,390,15.6,14,41,0.341,5,21,0.238,10,14,0.714,8,37,45,1.8,32,0,47,19,0,19,43,1.7
52,Will Braaksma......,21,1,194,9.2,15,33,0.455,0,0,0,7,12,0.583,8,33,41,2,28,0,5,10,2,6,37,1.8
32,Jim Cash...........,8,0,44,5.5,5,14,0.357,2,8,0.25,2,2,1,5,4,9,1.1,8,0,4,1,1,1,14,1.8
34,Jamison Turnbull...,10,1,37,3.7,4,8,0.5,0,0,0,1,4,0.25,4,4,8,0.8,10,0,3,5,0,0,9,0.9
22,Dionte Miller......,1,0,8,8,1,5,0.2,0,1,0,0,0,0,0,0,0,0,3,0,1,1,0,0,2,2
30,Mark Smith.........,3,0,7,2.3,0,1,0,0,0,0,0,1,0,0,1,1,0.3,0,0,0,1,0,0,0,0
21,Anthony Jones......,25,24,866,34.6,175,392,0.446,65,167,0.389,151,191,0.791,45,111,156,6.2,46,0,86,87,17,33,566,22.6
34,Mark Barnes........,25,22,736,29.4,136,340,0.4,41,135,0.304,63,98,0.643,50,127,177,7.1,62,1,37,52,7,28,376,15
42,Carl Hill..........,25,11,438,17.5,59,129,0.457,23,51,0.451,17,27,0.63,19,37,56,2.2,22,0,22,35,6,24,158,6.3
23,Isaac Smith........,25,22,629,25.2,56,117,0.479,14,41,0.341,24,40,0.6,40,68,108,4.3,67,4,60,61,3,31,150,6
24,Anthony Naylor.....,20,14,415,20.8,60,133,0.451,0,4,0,27,38,0.711,32,45,77,3.8,45,1,10,23,9,9,147,7.3
30,James Barnhart.....,23,2,343,14.9,44,93,0.473,3,13,0.231,19,30,0.633,27,31,58,2.5,47,2,14,22,2,7,110,4.8
3,Ricky Clarkson.....,25,7,357,14.3,32,76,0.421,20,46,0.435,11,16,0.688,1,15,16,0.6,21,0,27,27,2,19,95,3.8
5,Jayme Fazi.........,25,17,617,24.7,29,81,0.358,14,50,0.28,5,8,0.625,13,23,36,1.4,42,0,31,37,1,22,77,3.1
12,Greg Nelson........,19,0,172,9.1,20,49,0.408,12,31,0.387,7,7,1,6,16,22,1.2,12,0,14,15,1,9,59,3.1
55,Fred Anthony.......,22,1,206,9.4,23,57,0.404,2,8,0.25,10,19,0.526,14,18,32,1.5,27,0,9,9,2,8,58,2.6
50,Jamie Diener.......,22,0,247,11.2,13,37,0.351,0,0,0,5,12,0.417,25,26,51,2.3,44,0,6,11,9,2,31,1.4
32,"Jordan, Amaus......",1,0,6,6,0,0,0,0,0,0,1,2,0.5,0,1,1,1,2,0,0,1,0,1,1,1
32,Venias Jordan......,6,0,18,3,0,4,0,0,1,0,0,0,0,0,1,1,0.2,1,0,1,2,0,0,0,0
34,Dan Aultman........,26,25,630,24.2,175,323,0.542,3,14,0.214,61,75,0.813,39,111,150,5.8,63,0,27,53,19,11,414,15.9
30,Andy Draayer.......,26,0,482,18.5,108,223,0.484,86,180,0.478,17,24,0.708,13,70,83,3.2,30,1,20,17,1,19,319,12.3
32,Kyle Trewhella.....,23,19,513,22.3,97,203,0.478,45,98,0.459,19,29,0.655,12,40,52,2.3,40,0,65,37,11,14,258,11.2
14,Ricky Shilts.......,26,25,616,23.7,77,164,0.47,45,107,0.421,55,63,0.873,6,46,52,2,46,1,93,70,2,33,254,9.8
52,Joel Hoekstra......,26,25,532,20.5,77,166,0.464,15,38,0.395,52,68,0.765,29,84,113,4.3,43,0,49,35,6,10,221,8.5
40,Josh Meckes........,26,25,619,23.8,72,139,0.518,0,0,0,38,57,0.667,59,132,191,7.3,54,1,34,37,47,37,182,7
20,Brad Sall..........,26,6,489,18.8,45,96,0.469,19,46,0.413,29,41,0.707,31,61,92,3.5,30,0,30,36,0,42,138,5.3
42,Brian Roelofs......,16,0,244,15.2,37,74,0.5,4,11,0.364,23,35,0.657,18,33,51,3.2,41,0,19,25,7,10,101,6.3
10,Josh Vriesman......,23,0,364,15.8,17,48,0.354,11,32,0.344,19,23,0.826,9,15,24,1,14,0,55,33,1,10,64,2.8
44,Kyle Snoeyink......,25,0,278,11.1,24,57,0.421,2,7,0.286,8,22,0.364,16,43,59,2.4,14,0,17,18,5,10,58,2.3
4,Todd Koetsier......,17,0,175,10.3,16,48,0.333,0,5,0,13,16,0.812,16,28,44,2.6,17,0,5,13,1,7,45,2.6
50,Eric DeVries.......,20,0,164,8.2,12,31,0.387,0,0,0,12,22,0.545,13,21,34,1.7,17,0,9,11,1,5,36,1.8
