"ACT","SAT","Grad","GradGPA","HSGPA","Cohort"
25,NA,TRUE,3.009,3.752,2001
27,NA,TRUE,3.216,3.521,2001
32,1550,TRUE,3.579,3.84,2001
26,NA,TRUE,3.805,3.88,2001
26,NA,TRUE,3.725,3.84,2001
33,1340,TRUE,3.926,3.974,2001
23,NA,FALSE,NA,3.575,2001
NA,1090,TRUE,2.468,2.218,2001
27,NA,TRUE,3.634,3.939,2001
23,NA,FALSE,NA,3.343,2001
25,NA,FALSE,NA,3.374,2001
NA,1170,FALSE,NA,3.6,2001
32,1350,TRUE,3.938,4.222,2001
25,NA,FALSE,NA,3.643,2001
27,1320,TRUE,3.463,2.58,2001
23,NA,FALSE,NA,3.251,2001
NA,1140,FALSE,NA,2.645,2001
NA,1340,FALSE,NA,5.197,2001
NA,990,TRUE,3.261,3.05,2001
NA,1280,TRUE,2.795,NA,2001
24,NA,TRUE,3.743,3.901,2001
27,NA,TRUE,3.484,3.597,2001
22,NA,TRUE,3.312,3.837,2001
25,1040,TRUE,3.264,3.597,2001
25,NA,FALSE,NA,3.069,2001
29,1230,TRUE,3.318,3.564,2001
24,NA,FALSE,NA,2.726,2001
NA,1240,FALSE,NA,3.785,2001
NA,NA,TRUE,2.994,NA,2001
23,1100,TRUE,3.066,NA,2001
NA,1200,TRUE,2.557,NA,2001
22,NA,TRUE,2.769,2.516,2001
NA,1370,TRUE,3.427,4,2001
NA,1150,TRUE,2.807,NA,2001
34,1490,TRUE,3.907,4.09,2001
25,NA,FALSE,NA,3.497,2001
22,NA,FALSE,NA,3.278,2001
24,NA,TRUE,3.093,2.976,2001
28,NA,TRUE,3.413,3.82,2001
NA,1020,FALSE,NA,3.12,2001
NA,1070,FALSE,NA,3.067,2001
23,NA,TRUE,3.267,4,2001
22,NA,TRUE,3.297,3.136,2001
27,NA,TRUE,3.265,3.83,2001
NA,1000,FALSE,NA,3.042,2001
28,NA,TRUE,3.241,3.74,2001
NA,1240,TRUE,3.953,4.12,2001
NA,1060,TRUE,3.868,3.94,2001
NA,980,FALSE,NA,NA,2001
24,NA,TRUE,3.713,3.328,2001
26,NA,TRUE,3.709,3.848,2001
28,NA,TRUE,3.67,3.899,2001
22,1050,TRUE,3.212,3.807,2001
29,NA,TRUE,3.258,4,2001
27,1270,FALSE,NA,4.185,2001
24,1120,TRUE,3.639,3.82,2001
23,990,TRUE,3.581,4.022,2001
31,NA,TRUE,3.842,3.921,2001
28,NA,FALSE,NA,2.934,2001
34,1480,TRUE,3.866,4.515,2001
21,NA,TRUE,3.68,3.828,2001
16,NA,TRUE,2.645,2.85,2001
32,NA,TRUE,3.976,4,2001
24,NA,TRUE,3.355,3.816,2001
28,NA,FALSE,NA,3.664,2001
26,NA,TRUE,3.626,3.972,2001
26,NA,TRUE,3.347,3.655,2001
NA,1160,TRUE,2.9,4.041,2001
29,NA,TRUE,2.799,3.25,2001
27,NA,TRUE,3.841,3.925,2001
32,NA,TRUE,3.844,4,2001
21,NA,TRUE,2.829,3.74,2001
29,NA,TRUE,3.837,4.194,2001
20,1040,TRUE,3.156,3.531,2001
NA,1140,TRUE,3.524,3.72,2001
28,1200,TRUE,3.18,3.636,2001
25,NA,TRUE,3.505,3.95,2001
20,NA,FALSE,NA,3.283,2001
NA,NA,FALSE,NA,NA,2001
NA,1070,TRUE,3.374,3.579,2001
36,1590,FALSE,NA,4,2001
24,NA,TRUE,2.925,2.868,2001
24,NA,FALSE,NA,2.55,2001
NA,1140,TRUE,2.979,3.601,2001
32,1480,TRUE,3.801,4.21,2001
20,NA,FALSE,NA,2.509,2001
24,1070,TRUE,3.135,3.677,2001
21,NA,FALSE,NA,3.57,2001
25,NA,TRUE,2.627,3.409,2001
NA,1020,TRUE,2.505,3.5,2001
30,NA,TRUE,3.827,4,2001
25,NA,TRUE,2.976,2.943,2001
24,NA,TRUE,3.179,3.195,2001
27,NA,TRUE,3.35,3.808,2001
19,NA,TRUE,2.681,2.995,2001
24,NA,TRUE,3.014,3.11,2001
21,NA,TRUE,3.29,3.587,2001
20,NA,FALSE,NA,3.211,2001
NA,970,FALSE,NA,2.92,2001
22,NA,TRUE,2.68,3.174,2001
18,NA,TRUE,2.097,2.35,2001
28,NA,TRUE,3.694,3.892,2001
30,NA,TRUE,3.549,3.895,2001
26,NA,TRUE,2.955,3.402,2001
25,NA,TRUE,2.367,2.308,2001
16,NA,TRUE,2.895,2.607,2001
24,1090,FALSE,NA,3.551,2001
28,NA,TRUE,3.653,3.543,2001
27,NA,TRUE,2.197,3.029,2001
31,NA,TRUE,3.941,4,2001
25,1340,TRUE,2.884,3.281,2001
31,NA,TRUE,3.582,4.083,2001
24,NA,TRUE,2.224,3.192,2001
30,NA,TRUE,3.74,3.509,2001
23,NA,TRUE,2.91,3.28,2001
25,NA,FALSE,NA,3.556,2001
28,NA,TRUE,3.491,3.756,2001
23,NA,TRUE,3.336,3.631,2001
NA,1210,TRUE,2.904,3.847,2001
24,NA,TRUE,3.539,4.267,2001
26,NA,FALSE,NA,2.339,2001
32,NA,FALSE,NA,3.98,2001
22,NA,FALSE,NA,2.25,2001
25,NA,TRUE,3.721,3.714,2001
25,NA,TRUE,3.636,3.44,2001
NA,1340,TRUE,3.6,4.15,2001
26,NA,TRUE,2.922,3.938,2001
21,NA,FALSE,NA,2.781,2001
30,1270,TRUE,3.679,3.888,2001
33,1430,TRUE,3.688,4.342,2001
29,NA,TRUE,3.299,3.832,2001
NA,1180,TRUE,3.294,3.493,2001
25,NA,TRUE,3.285,3.726,2001
