"ACT"	"SAT"	"Grad"	"GradGPA"	"HSGPA"	"Cohort"
30	NA	TRUE	3.613	3.743	2002
20	NA	TRUE	2.993	2.968	2004
23	1060	TRUE	3.582	3.507	2002
30	1420	TRUE	3.513	3.99	2005
21	1010	TRUE	2.703	3.253	2005
NA	730	TRUE	3.36	2.621	2001
23	NA	TRUE	2.716	3.1	2003
25	NA	FALSE	NA	2.588	2005
30	NA	TRUE	3.397	3.762	2003
21	NA	FALSE	NA	3.421	2003
21	NA	FALSE	NA	2.622	2005
24	NA	TRUE	3.095	3.458	2003
24	NA	FALSE	NA	3.759	2004
26	NA	TRUE	3.308	3.824	2003
20	NA	TRUE	2.733	3.673	2001
NA	1310	TRUE	3.762	4	2005
20	NA	TRUE	3.204	3.453	2002
NA	1310	TRUE	3.34	3.882	2001
24	NA	TRUE	3.61	3.8	2002
28	NA	FALSE	NA	3.938	2005
25	NA	FALSE	NA	3.59	2005
NA	970	TRUE	3.575	3.23	2004
22	NA	FALSE	NA	2.706	2004
20	NA	FALSE	NA	2.653	2005
26	NA	TRUE	3.324	3.632	2004
24	NA	TRUE	2.234	3.347	2004
26	NA	TRUE	3.345	3.755	2003
28	NA	TRUE	3.692	3.919	2003
26	NA	FALSE	NA	3.928	2005
NA	1180	TRUE	3.098	3.11	2001
25	NA	TRUE	3.682	3.761	2005
25	960	TRUE	2.857	2.636	2005
26	NA	TRUE	2.891	3.091	2004
22	NA	TRUE	2.606	2.84	2004
25	NA	TRUE	3.721	3.714	2001
31	NA	TRUE	3.898	3.98	2003
25	NA	TRUE	3.073	3.546	2004
25	NA	TRUE	3.5	3.833	2002
NA	1050	TRUE	2.491	2.32	2002
19	NA	FALSE	NA	3.383	2002
31	1290	TRUE	3.676	4	2001
21	NA	TRUE	3.152	3.035	2002
NA	1040	TRUE	3.276	3.385	2002
27	NA	TRUE	3.829	3.913	2002
27	NA	TRUE	2.875	3.683	2001
21	1030	TRUE	2.308	3.254	2001
26	NA	TRUE	3.168	3.539	2002
23	NA	TRUE	3.02	3.744	2003
NA	1120	TRUE	2.913	NA	2002
31	NA	TRUE	3.698	3.957	2005
27	NA	TRUE	3.467	3.629	2001
28	NA	TRUE	3.552	4.018	2003
28	NA	TRUE	3.291	3.975	2004
24	NA	FALSE	NA	4	2001
22	NA	FALSE	NA	3.499	2003
26	NA	TRUE	2.85	2.929	2001
32	NA	TRUE	3.479	3.805	2001
25	1080	TRUE	3.613	3.724	2004
26	1140	TRUE	3.907	3.958	2005
NA	1280	TRUE	2.75	3.58	2002
NA	950	TRUE	2.772	3.229	2004
26	1200	TRUE	3.142	3.658	2001
NA	1060	TRUE	3.415	3.804	2002
26	1160	FALSE	NA	3.073	2002
20	NA	FALSE	NA	2.8	2005
22	NA	TRUE	2.486	2.986	2003
25	NA	TRUE	2.965	2.559	2004
24	1080	FALSE	NA	2.76	2005
33	NA	TRUE	3.804	3.899	2004
26	1260	FALSE	NA	3.809	2003
29	NA	TRUE	3.072	3.483	2004
NA	NA	FALSE	NA	3.261	2003
NA	1130	TRUE	2.427	2.368	2004
26	NA	TRUE	3.805	3.88	2001
30	NA	TRUE	3.451	3.983	2003
19	950	TRUE	3.31	4	2002
24	NA	TRUE	3.549	3.353	2002
28	NA	TRUE	3.904	3.826	2003
19	NA	FALSE	NA	3.087	2002
25	NA	TRUE	2.265	3.05	2001
25	NA	TRUE	3.417	3.461	2002
27	NA	TRUE	3.266	3.571	2004
26	NA	TRUE	3.718	3.644	2002
